False: खीनाा, True: बी-14
False: कान्र, True: केनरा
False: मण्डपम, True: मण्डपम्
False: स्क, True: स्टीकर
False: सिदायय, True: रिटायर्ड
False: काकरा, True: केनरा
False: साटटटी, True: मेस
False: डेट्, True: करना
False: नई, True: न
False: आाारशानी, True: आवास
False: कैम्पस, True: केम्पस
False: काम्पटक, True: कॉम्पलेक्स
False: के, True: बैंक
False: मु़्, True: मुड़े
False: मृ़, True: सड़क
False: साक्ट्, True: आवास
False: प्रौथ्योगिक, True: प्रौद्योगिकी
False: प््द्, True: दण्डात्मक
False: परिसह, True: यूनियन
False: सेक, True: दिल्ली
False: ओील, True: टी.
False: लेव्िर, True: लेक्चर
False: ओीरार, True: डी
False: ओे, True: डी
False: कार्दाली, True: कार्यालय
False: सेर, True: स्टेट
False: खेवा, True: सेवा
False: नईल्लल, True: आवास
False: सेन्ीररी, True: बजाएं
False: नेद्ीी, True: लेक्चर
False: एन, True: एफ
False: कीन्द्र, True: बी-25
False: नईजू, True: न
False: दरकररी, True: ह
False: नेे्शी, True: खेलने
False: शार्शा, True: आवास
False: सेन्ट, True: सेन्ट्रल
False: दिर्ली, True: हॉर्न
False: आगन्तुक, True: आपूर्ति
False: लेद्रर, True: लेक्चर
False: एक््िटन, True: ऐडमिनिस्ट्रेटिव
False: केन्द, True: केन्द्र
False: स्न्ट, True: अभियान
False: कं, True: बैंक
False: अस््ताल, True: असेम्बली
False: जीजथ, True: जे.ई.ई.
False: हान, True: हाल
False: एम, True: एच
False: आ, True: आई
False: सिवायन, True: रिटायर्ड
False: आनम्द्की, True: कॉम्पलेक्स
False: सेकार, True: प्रवेशप्रतिबन्धित
False: पुि्िध, True: प्रतिबंध
False: साकाट, True: आगे
False: सनन्ट्, True: आवास
False: स्स्थान, True: सस्थान
False: ओ, True: जी
False: कीरााी, True: बी-13
False: बे, True: बैंक
False: सि, True: आगे
False: खेवा, True: सेवा
False: पण््स्, True: दण्डात्मक
False: आ, True: आई
False: पुिविधं, True: प्रतिबंध
False: के, True: बैंक
False: साम्य्, True: कॉम्पलेक्स
False: पाि्, True: पालन
False: स्र, True: स्टेट
False: पा्ुिा, True: पश्चिमी
False: आईि्ा, True: आई
False: दारतीय, True: भारतीय
False: सनम्द्रीन, True: कॉम्पलेक्स
False: सुक्ष, True: सुरक्षा
False: दिल्ली, True: के
False: कीमा, True: बी-25
False: निठास, True: निकास
False: वीन्लीर, True: न
False: टई, True: टी
False: सारथ, True: साऊथ
False: सिवायन, True: रिटायर्ड
False: कीजा, True: बी-25
False: ननल, True: गेट
False: कानरर, True: केनरा
False: पेन्ल, True: दण्डनीय
False: अन््ताप, True: असेम्बली
False: खेल, True: मैस
False: सेट, True: नए
False: निभाग, True: निर्माण
False: वनल, True: वन
False: शाराग, True: क्षण
False: उायेगा, True: जायेगी
False: वर्, True: वर्कशाप
False: नेद्ीर, True: लेक्चर
False: ओटो, True: आई
False: सेक्टी, True: नए
False: निल्ली, True: टी
False: के, True: बैंक
False: दिल्ली, True: न
False: कई, True: नई
False: विप्ु, True: विद्युत 
False: केर, True: मैस
False: डलल्लल, True: आदि
False: किल्, True: कि.मी.
False: बईजिली, True: न
False: प्््ा, True: प्रर्दशनी
False: क, True: धूम्रपान
False: हि्, True: है
False: मेल, True: मैस
False: सान्टीरी, True: सावधान
False: प्रौद्योगिक, True: प्रौद्योगिकी
False: के, True: बैंक
False: ए्यू, True: न्यू
False: गाल, True: गति
False: निल्लि, True: विकास
False: सेर, True: गतिरोधक
False: न्यूष, True: न्यू
False: मु़, True: मुड़े
False: से, True: समय
False: ईी, True: है
False: डीररर, True: डी
False: अपार्टमेन्ट, True: अपार्टमेंट
False: सेकार, True: उन्नत
False: कार, True: कक्ष
False: शाराथ, True: आवास
False: बारा, True: दायें
False: चले, True: चलें
False: खे, True: सेवा
False: मिह्, True: (सिविल
False: खेठ, True: स्टेट
False: साक, True: आगे
False: सिवाव, True: रिटायर्ड
False: सेट्ट, True: अभियान
False: ओृल, True: मैदान
False: निर्ीी, True: नर्सरी-1
False: बाला, True: वाली
False: खेल, True: होल
False: पास्रा, True: गुलमोहर
False: मवद, True: एवं
False: सा््र, True: सावधान
False: स्मारार, True: सेमीनार
False: मैवार, True: र्मचारी
False: सिल्ली, True: भारत
False: मीय, True: मैस
False: स्ट, True: स्टेट
False: अार्तावलय, True: सावधान
False: पृर, True: एवं
False: आनल्तेक, True: प्रवेशाधिकार
False: करर, True: करने
False: साटरल, True: आगे
False: सेन्ट, True: सेन्ट्रल
False: गणि, True: गति
False: काम्प्कर, True: काम्प्लेक्स
False: आुल्तलाल, True: गतिरोधक
False: पाय्, True: दायें
False: मृट, True: रंग
False: हान, True: हाल
False: दारतीय, True: भारतीय
False: एे, True: अपराध
False: विवास, True: विकास
False: आपा््सननस्ट, True: प्रवेशाधिकार
False: दारतीय, True: भारतीय
False: खड़ा, True: खड़ा
False: मेन्द्लेन्, True: मेन्टिनेन्स
False: पुल्त, True: गतिरोधक
False: ओे, True: कृपया
False: एाक, True: आगे
False: आत, True: आई
False: पुिवि, True: प्रतिबंध
False: सेट, True: स्टेट
False: सी, True: डी
False: की, True: बी-1
False: कीन्द, True: बी-21
False: साममिम, True: सेमीनार
False: अहियाात, True: अभियन्ता
False: दिन्दर, True: आगे
False: स्व्क, True: स्वच्छता
False: काह्टी, True: मेस
False: आनल्ल्ाल, True: गतिरोधक
False: आी, True: है
False: सिटाय, True: रिटायर्ड
False: वर््द्ररपि, True: गतिरोधक
False: वसल, True: नल
False: सरस्रा, True: सभागार
False: आई, True: हॉर्न
False: एा््र, True: सावधान
False: एे, True: टी
False: अपकररर, True: उपकरण
False: किवास, True: विकास
False: मिह्, True: (सिविल
False: एम, True: नए
False: मा, True: आई
False: सिवालन, True: रिटायर्ड
False: हेज्ाा, True: मेनेजमेन्ट
False: केठ, True: बैंक
False: काक्टलन, True: होस्टल
False: घार्न, True: घास
False: कार, True: कूप
False: मार्ी, True: भारतीय
False: वाक्क, True: उपकरण
False: कं, True: बैंक
False: पवेन्यू, True: एवेन्यू
False: आाम्््, True: कॉम्पलेक्स
False: केल, True: मैस
False: हाल, True: ताल
False: चले, True: चलें
False: कैश्पस, True: कैम्पस
False: बागवानी, True: वागवानीं
False: स्््ी, True: सावधान
False: आाम्द्, True: कॉम्पलेक्स
False: केलकक, True: ब्लॉक
False: केव, True: केवल
False: टील, True: टी.
False: एृ, True: एवम्
False: माि्तिाा, True: भूमिगत
False: आगन्तिक, True: आपूर्ति
False: कर््दां, True: कार्यशाला
False: सेे, True: टी
False: लेव्रर, True: लेक्चर
False: देय्दयय, True: अपराध
False: किम्ली, True: कि.मी.
False: क्लाक, True: ब्लाक
False: केन्द, True: केन्द्र
